episode, show
145, [74 54 45 71 66 59 65 51 71 74 73 75 55 56 55 56]
146, [59 55 54 55 41 72 73 65 74 68 65 56 64 78 67 54]
147, [75 65 29 65 77 61 66 61 68 61 51 65 70 63 61 62]
148, [64 75 36 71 56 55 56 60 64 72 61 69 61 69 62 69]
149, [58 68 65 68 40 56 63 60 70 61 62 69 60 58 70 72]
150, [60 75 43 82 61 58 77 64 59 60 58 69 56 66 58 54]
151, [64 70 47 56 61 59 68 68 59 58 75 70 67 55 61 62]
152, [79 63 31 47 63 61 63 55 73 68 67 74 65 61 72 58]
153, [69 67 60 71 65 54 51 54 71 60 64 67 68 68 62 49]
154, [65 70 47 70 57 60 59 48 67 69 59 48 60 69 77 75]
155, [70 63 45 49 64 69 64 67 54 66 71 70 65 71 55 57]
156, [44 81 61 65 57 55 75 59 61 68 55 71 58 70 58 62]
157, [80 52 28 54 64 53 63 72 60 65 59 73 76 65 76 60]
158, [66 68 63 65 58 58 55 64 58 54 70 71 66 54 58 72]
159, [57 65 33 73 78 60 74 60 55 63 58 66 66 69 50 73]
160, [72 66 29 62 87 66 70 61 68 58 75 50 65 56 56 59]
161, [59 61 52 70 57 56 59 57 71 64 63 72 58 77 66 58]
162, [67 52 23 71 76 62 65 53 58 57 68 69 78 74 64 63]
163, [58 47 50 51 68 71 51 78 83 72 60 72 71 54 57 57]
164, [76 56 62 53 60 56 63 63 77 58 67 64 67 61 57 60]
165, [56 63 15 62 82 59 78 83 65 66 69 58 61 64 52 67]
166, [58 78 50 72 58 52 73 55 57 63 53 64 63 62 69 73]
167, [69 49 61 65 66 66 64 54 51 77 77 63 63 60 54 61]
168, [58 78 50 52 70 66 67 55 71 59 70 59 62 61 53 69]
169, [55 73 29 73 62 67 71 65 62 67 67 59 80 59 52 59]
170, [64 59 46 77 46 69 71 80 62 75 52 60 66 60 50 63]
171, [67 68 40 61 48 69 68 56 64 60 64 63 68 65 72 67]
172, [63 56 53 63 59 68 83 52 68 69 68 64 58 52 64 60]
173, [75 53 42 69 48 80 64 69 66 63 61 62 58 52 71 67]
174, [63 55 50 60 68 66 56 66 69 67 70 56 57 59 65 73]
175, [63 64 43 68 79 63 67 75 68 55 47 56 64 73 48 67]
176, [52 65 47 72 55 56 73 86 53 58 65 62 65 70 65 56]
177, [64 71 46 65 71 48 64 62 66 68 73 53 55 61 74 59]
178, [67 58 47 75 48 65 58 60 57 65 70 66 66 60 58 80]
179, [54 48 50 73 67 57 74 58 70 70 73 59 57 57 75 58]
180, [72 56 33 70 73 57 58 62 51 59 59 67 74 67 77 65]
181, [73 72 19 65 61 53 66 58 51 79 70 66 75 58 66 68]
182, [70 65 62 54 49 59 62 68 43 48 80 69 68 61 69 73]
183, [63 72 43 59 51 64 81 56 72 65 65 54 73 57 64 61]
184, [72 67 46 77 54 64 83 42 61 63 57 63 58 57 68 68]
185, [60 61 50 67 50 60 70 71 66 69 73 54 67 70 67 45]
186, [60 54 44 76 77 67 49 66 65 71 66 70 60 63 57 55]
187, [62 59 56 57 65 62 76 71 72 50 69 63 61 59 53 65]
188, [54 64 62 67 40 56 56 68 69 73 80 68 68 49 71 55]
189, [65 54 53 57 48 73 63 70 64 67 61 50 67 66 67 75]
190, [65 69 43 60 72 68 70 52 66 71 59 49 69 57 62 68]
191, [66 53 47 71 58 79 52 63 65 71 63 62 51 73 52 74]
192, [45 67 38 52 55 79 57 55 79 63 68 78 81 57 61 65]
193, [68 68 50 63 61 66 56 68 59 64 59 60 64 60 67 67]
194, [61 62 55 52 49 56 58 70 52 65 61 74 72 76 66 71]
195, [66 61 54 74 59 62 62 70 60 57 64 66 58 62 69 56]
196, [62 66 51 60 43 60 73 65 62 60 52 63 63 67 72 81]
197, [61 76 53 71 51 60 68 53 52 67 66 54 70 62 61 75]
198, [63 71 45 70 59 65 66 59 58 71 54 57 52 62 69 79]
199, [54 64 44 64 58 61 52 63 70 77 64 65 61 67 65 71]
200, [76 58 45 65 65 54 56 67 68 67 62 67 54 56 64 76]
201, [67 81 43 75 56 70 59 54 60 67 66 65 59 54 62 62]
202, [71 75 41 57 58 69 57 73 68 66 62 52 66 52 70 63]
203, [55 74 65 58 56 72 65 69 50 56 64 64 67 63 58 64]
204, [53 71 45 61 54 71 65 64 69 66 52 60 78 53 75 63]
205, [72 61 49 61 80 66 57 60 66 52 65 59 62 57 64 69]
206, [51 62 34 53 84 61 58 73 70 69 62 63 63 58 67 72]
207, [57 65 39 59 64 76 66 64 58 65 70 68 55 66 63 65]
208, [65 68 42 71 60 60 66 64 65 67 65 63 48 74 71 51]
209, [50 64 47 64 56 58 72 73 66 70 60 57 60 60 72 71]
210, [63 68 76 58 50 46 64 61 63 63 62 72 68 62 60 64]
211, [70 55 48 64 57 69 62 72 55 72 46 54 65 69 73 69]
212, [59 65 45 64 51 69 59 60 53 72 63 73 68 73 63 63]
213, [62 52 50 78 48 66 70 50 69 70 56 62 73 59 63 72]
214, [46 66 52 67 68 55 62 63 73 68 68 55 74 65 60 58]
215, [73 54 56 62 51 62 54 55 64 70 75 75 79 51 54 65]
216, [82 66 45 78 61 53 72 68 61 60 54 56 72 54 57 61]
217, [60 62 61 59 57 60 81 77 58 61 56 74 52 67 60 55]
218, [50 75 45 57 66 67 77 63 53 61 62 58 71 69 59 67]
